Pair_ID,Vehicle_Type,Start_Node,End_Node,Start_Lon,Start_Lat,End_Lon,End_Lat
1,Truck,0,8,113.014397,28.097518,113.008989,28.100393
1,Truck,8,9,113.008989,28.100393,113.008044,28.088587
1,Truck,9,3,113.008044,28.088587,113.021866,28.090328
1,Truck,3,4,113.021866,28.090328,113.028906,28.089722
1,Truck,4,2,113.028906,28.089722,113.029078,28.09275
1,Truck,2,1,113.029078,28.09275,113.032512,28.096761
1,Truck,1,28,113.032512,28.096761,113.023927,28.104404
1,Truck,28,30,113.023927,28.104404,113.023841,28.114544
1,Truck,30,33,113.023841,28.114544,113.002464,28.115906
1,Truck,33,50,113.002464,28.115906,113.002035,28.119614
1,Truck,50,49,113.002035,28.119614,112.996197,28.125591
1,Truck,49,48,112.996197,28.125591,112.995167,28.13119
1,Truck,48,44,112.995167,28.13119,112.980658,28.130736
1,Truck,44,47,112.980658,28.130736,112.984178,28.126197
1,Truck,47,34,112.984178,28.126197,112.991904,28.116285
1,Truck,34,21,112.991904,28.116285,112.963402,28.110458
1,Truck,21,24,112.963402,28.110458,112.956104,28.105993
1,Truck,24,13,112.956104,28.105993,112.992248,28.099334
1,Truck,13,14,112.992248,28.099334,112.995854,28.103269
1,Truck,14,15,112.995854,28.103269,112.999717,28.107053
1,Truck,15,29,112.999717,28.107053,113.016887,28.101377
1,Truck,29,0,113.016887,28.101377,113.014397,28.097518
2,Truck,0,19,113.014397,28.097518,112.980915,28.100923
2,Truck,19,18,112.980915,28.100923,112.973361,28.099788
2,Truck,18,27,112.973361,28.099788,112.96778,28.099637
2,Truck,27,22,112.96778,28.099637,112.964861,28.105842
2,Truck,22,37,112.964861,28.105842,112.96881,28.114166
2,Truck,37,38,112.96881,28.114166,112.965033,28.117647
2,Truck,38,41,112.965033,28.117647,112.971128,28.125667
2,Truck,41,42,112.971128,28.125667,112.968639,28.12945
2,Truck,42,39,112.968639,28.12945,112.964003,28.123473
2,Truck,39,26,112.964003,28.123473,112.961427,28.098426
2,Truck,26,25,112.961427,28.098426,112.963144,28.089647
2,Truck,25,17,112.963144,28.089647,112.97379,28.094642
2,Truck,17,16,112.97379,28.094642,112.986667,28.095626
2,Truck,16,12,112.986667,28.095626,112.998687,28.093431
2,Truck,12,7,112.998687,28.093431,113.006156,28.096382
2,Truck,7,10,113.006156,28.096382,113.008474,28.078293
2,Truck,10,6,113.008474,28.078293,113.018862,28.078142
2,Truck,6,5,113.018862,28.078142,113.017231,28.084273
2,Truck,5,0,113.017231,28.084273,113.014397,28.097518
